Distance median           average     
1.0      8.75291653514721 8.55868120482484
2.0      9.11831840895826 9.11831840895826
3.0      7.96101305563944 7.80936500382786
4.0      7.00238594904090 6.81116723358342
5.0      5.42702609951686 5.61051692848204
6.0      8.53843658234754 8.36081104255546






