time	V(g)
Step Information: Thresholdvoltage=1.837  (Step: 38/401)
0.000000000000000e+00	1.851142e+00
9.990485759703450e-01	1.851142e+00
1.000000000000000e+00	1.851142e+00
Step Information: Thresholdvoltage=1.838  (Step: 39/401)
0.000000000000000e+00	1.852142e+00
9.990485759703450e-01	1.852142e+00
1.000000000000000e+00	1.852142e+00
Step Information: Thresholdvoltage=1.839  (Step: 40/401)
0.000000000000000e+00	1.853142e+00
9.990485759703450e-01	1.853142e+00
1.000000000000000e+00	1.853142e+00
Step Information: Thresholdvoltage=1.84  (Step: 41/401)
0.000000000000000e+00	1.854142e+00
9.990485759703450e-01	1.854142e+00
1.000000000000000e+00	1.854142e+00
Step Information: Thresholdvoltage=1.841  (Step: 42/401)
0.000000000000000e+00	1.855142e+00
9.990485759703450e-01	1.855142e+00
1.000000000000000e+00	1.855142e+00
Step Information: Thresholdvoltage=1.842  (Step: 43/401)
0.000000000000000e+00	1.856142e+00
9.990485759703450e-01	1.856142e+00
1.000000000000000e+00	1.856142e+00
Step Information: Thresholdvoltage=1.843  (Step: 44/401)
0.000000000000000e+00	1.857142e+00
9.990485759703450e-01	1.857142e+00
1.000000000000000e+00	1.857142e+00
Step Information: Thresholdvoltage=1.844  (Step: 45/401)
0.000000000000000e+00	1.858142e+00
9.990485759703450e-01	1.858142e+00
1.000000000000000e+00	1.858142e+00
Step Information: Thresholdvoltage=1.845  (Step: 46/401)
0.000000000000000e+00	1.859142e+00
9.990485759703450e-01	1.859142e+00
1.000000000000000e+00	1.859142e+00
Step Information: Thresholdvoltage=1.846  (Step: 47/401)
0.000000000000000e+00	1.860142e+00
9.990485759703450e-01	1.860142e+00
1.000000000000000e+00	1.860142e+00
Step Information: Thresholdvoltage=1.847  (Step: 48/401)
0.000000000000000e+00	1.861142e+00
9.990485759703450e-01	1.861142e+00
1.000000000000000e+00	1.861142e+00
Step Information: Thresholdvoltage=1.848  (Step: 49/401)
0.000000000000000e+00	1.862142e+00
9.990485759703450e-01	1.862142e+00
1.000000000000000e+00	1.862142e+00
Step Information: Thresholdvoltage=1.849  (Step: 50/401)
0.000000000000000e+00	1.863142e+00
9.990485759703450e-01	1.863142e+00
1.000000000000000e+00	1.863142e+00
Step Information: Thresholdvoltage=1.85  (Step: 51/401)
0.000000000000000e+00	1.864142e+00
9.990485759703450e-01	1.864142e+00
1.000000000000000e+00	1.864142e+00
Step Information: Thresholdvoltage=1.851  (Step: 52/401)
0.000000000000000e+00	1.865142e+00
9.990485759703450e-01	1.865142e+00
1.000000000000000e+00	1.865142e+00
Step Information: Thresholdvoltage=1.852  (Step: 53/401)
0.000000000000000e+00	1.866142e+00
9.990485759703450e-01	1.866142e+00
1.000000000000000e+00	1.866142e+00
Step Information: Thresholdvoltage=1.853  (Step: 54/401)
0.000000000000000e+00	1.867142e+00
9.990485759703450e-01	1.867142e+00
1.000000000000000e+00	1.867142e+00
Step Information: Thresholdvoltage=1.854  (Step: 55/401)
0.000000000000000e+00	1.868142e+00
9.990485759703450e-01	1.868142e+00
1.000000000000000e+00	1.868142e+00
Step Information: Thresholdvoltage=1.855  (Step: 56/401)
0.000000000000000e+00	1.869142e+00
9.990485759703450e-01	1.869142e+00
1.000000000000000e+00	1.869142e+00
Step Information: Thresholdvoltage=1.856  (Step: 57/401)
0.000000000000000e+00	1.870142e+00
9.990485759703450e-01	1.870142e+00
1.000000000000000e+00	1.870142e+00
Step Information: Thresholdvoltage=1.857  (Step: 58/401)
0.000000000000000e+00	1.871142e+00
9.990485759703450e-01	1.871142e+00
1.000000000000000e+00	1.871142e+00
Step Information: Thresholdvoltage=1.858  (Step: 59/401)
0.000000000000000e+00	1.872142e+00
9.990485759703450e-01	1.872142e+00
1.000000000000000e+00	1.872142e+00
Step Information: Thresholdvoltage=1.859  (Step: 60/401)
0.000000000000000e+00	1.873142e+00
9.990485759703450e-01	1.873142e+00
1.000000000000000e+00	1.873142e+00
Step Information: Thresholdvoltage=1.86  (Step: 61/401)
0.000000000000000e+00	1.874142e+00
9.990485759703450e-01	1.874142e+00
1.000000000000000e+00	1.874142e+00
Step Information: Thresholdvoltage=1.861  (Step: 62/401)
0.000000000000000e+00	1.875142e+00
9.990485759703450e-01	1.875142e+00
1.000000000000000e+00	1.875142e+00
Step Information: Thresholdvoltage=1.862  (Step: 63/401)
0.000000000000000e+00	1.876142e+00
9.990485759703450e-01	1.876142e+00
1.000000000000000e+00	1.876142e+00
Step Information: Thresholdvoltage=1.863  (Step: 64/401)
0.000000000000000e+00	1.877142e+00
9.990485759703450e-01	1.877142e+00
1.000000000000000e+00	1.877142e+00
Step Information: Thresholdvoltage=1.864  (Step: 65/401)
0.000000000000000e+00	1.878142e+00
9.990485759703450e-01	1.878142e+00
1.000000000000000e+00	1.878142e+00
Step Information: Thresholdvoltage=1.865  (Step: 66/401)
0.000000000000000e+00	1.879142e+00
9.990485759703450e-01	1.879142e+00
1.000000000000000e+00	1.879142e+00
Step Information: Thresholdvoltage=1.866  (Step: 67/401)
0.000000000000000e+00	1.880142e+00
9.990485759703450e-01	1.880142e+00
1.000000000000000e+00	1.880142e+00
Step Information: Thresholdvoltage=1.867  (Step: 68/401)
0.000000000000000e+00	1.881142e+00
9.990485759703450e-01	1.881142e+00
1.000000000000000e+00	1.881142e+00
Step Information: Thresholdvoltage=1.868  (Step: 69/401)
0.000000000000000e+00	1.882142e+00
9.990485759703450e-01	1.882142e+00
1.000000000000000e+00	1.882142e+00
Step Information: Thresholdvoltage=1.869  (Step: 70/401)
0.000000000000000e+00	1.883142e+00
9.990485759703450e-01	1.883142e+00
1.000000000000000e+00	1.883142e+00
Step Information: Thresholdvoltage=1.87  (Step: 71/401)
0.000000000000000e+00	1.884142e+00
9.990485759703450e-01	1.884142e+00
1.000000000000000e+00	1.884142e+00
Step Information: Thresholdvoltage=1.871  (Step: 72/401)
0.000000000000000e+00	1.885142e+00
9.990485759703450e-01	1.885142e+00
1.000000000000000e+00	1.885142e+00
Step Information: Thresholdvoltage=1.872  (Step: 73/401)
0.000000000000000e+00	1.886142e+00
9.990485759703450e-01	1.886142e+00
1.000000000000000e+00	1.886142e+00
Step Information: Thresholdvoltage=1.873  (Step: 74/401)
0.000000000000000e+00	1.887142e+00
9.990485759703450e-01	1.887142e+00
1.000000000000000e+00	1.887142e+00
Step Information: Thresholdvoltage=1.874  (Step: 75/401)
0.000000000000000e+00	1.888142e+00
9.990485759703450e-01	1.888142e+00
1.000000000000000e+00	1.888142e+00
Step Information: Thresholdvoltage=1.875  (Step: 76/401)
0.000000000000000e+00	1.889142e+00
9.990485759703450e-01	1.889142e+00
1.000000000000000e+00	1.889142e+00
Step Information: Thresholdvoltage=1.876  (Step: 77/401)
0.000000000000000e+00	1.890142e+00
9.990485759703450e-01	1.890142e+00
1.000000000000000e+00	1.890142e+00
Step Information: Thresholdvoltage=1.877  (Step: 78/401)
