Freq.	V(out)
8.70963589956079e-001	(-2.80141376132478e-002dB,-4.59923530487140e+000°)
8.91250938133744e-001	(-2.93299548503806e-002dB,-4.70588955447797e+000°)
9.12010839355908e-001	(-3.07073574876477e-002dB,-4.81499426845780e+000°)
9.33254300796989e-001	(-3.21492070415281e-002dB,-4.92660412880221e+000°)
9.54992586021434e-001	(-3.36584959840038e-002dB,-5.04077492258406e+000°)
9.77237220955809e-001	(-3.52383535441072e-002dB,-5.15756355597339e+000°)
9.99999999999998e-001	(-3.68920517480820e-002dB,-5.27702806778122e+000°)
1.02329299228075e+000	(-3.86230117062307e-002dB,-5.39922764246792e+000°)
1.04712854805090e+000	(-4.04348101545316e-002dB,-5.52422262254844e+000°)
1.07151930523760e+000	(-4.23311862592095e-002dB,-5.65207452032119e+000°)
1.09647819614318e+000	(-4.43160486924961e-002dB,-5.78284602884268e+000°)
1.12201845430196e+000	(-4.63934829878094e-002dB,-5.91660103206420e+000°)
1.14815362149688e+000	(-4.85677591825589e-002dB,-6.05340461404092e+000°)
1.17489755493953e+000	(-5.08433397567749e-002dB,-6.19332306711824e+000°)
1.20226443461741e+000	(-5.32248878756106e-002dB,-6.33642389899289e+000°)
1.23026877081238e+000	(-5.57172759436648e-002dB,-6.48277583854036e+000°)
1.25892541179416e+000	(-5.83255944788948e-002dB,-6.63244884029260e+000°)
1.28824955169313e+000	(-6.10551613136349e-002dB,-6.78551408744264e+000°)
1.31825673855640e+000	(-6.39115311299125e-002dB,-6.94204399324494e+000°)
1.34896288259165e+000	(-6.69005053359453e-002dB,-7.10211220067219e+000°)
1.38038426460288e+000	(-7.00281422902190e-002dB,-7.26579358018070e+000°)
1.41253754462275e+000	(-7.33007678790306e-002dB,-7.43316422542765e+000°)
1.44543977074592e+000	(-7.67249864527678e-002dB,-7.60430144677426e+000°)
1.47910838816820e+000	(-8.03076921255187e-002dB,-7.77928376239950e+000°)
1.51356124843620e+000	(-8.40560804417485e-002dB,-7.95819088683887e+000°)
1.54881661891248e+000	(-8.79776604128639e-002dB,-8.14110371675272e+000°)
1.58489319246111e+000	(-9.20802669254569e-002dB,-8.32810431371813e+000°)
1.62181009735892e+000	(-9.63720735217970e-002dB,-8.51927588382744e+000°)
1.65958690743756e+000	(-1.00861605551785e-001dB,-8.71470275386563e+000°)
1.69824365246174e+000	(-1.05557753694164e-001dB,-8.91447034382764e+000°)
1.73780082874937e+000	(-1.10469787842989e-001dB,-9.11866513552505e+000°)
1.77827941003892e+000	(-1.15607371353641e-001dB,-9.32737463702045e+000°)
1.81970085860998e+000	(-1.20980575640500e-001dB,-9.54068734261605e+000°)
1.86208713666286e+000	(-1.26599895116221e-001dB,-9.75869268811180e+000°)
1.90546071796324e+000	(-1.32476262460025e-001dB,-9.98148100103670e+000°)
1.94984459975804e+000	(-1.38621064199703e-001dB,-1.02091434455462e+001°)
1.99526231496887e+000	(-1.45046156589099e-001dB,-1.04417719616673e+001°)
2.04173794466952e+000	(-1.51763881759555e-001dB,-1.06794591985631e+001°)
2.08929613085403e+000	(-1.58787084120312e-001dB,-1.09222984414782e+001°)
2.13796208950223e+000	(-1.66129126979058e-001dB,-1.11703835320177e+001°)
2.18776162394955e+000	(-1.73803909349735e-001dB,-1.14238087814047e+001°)
2.23872113856833e+000	(-1.81825882910235e-001dB,-1.16826688763523e+001°)
2.29086765276777e+000	(-1.90210069067973e-001dB,-1.19470587771839e+001°)
2.34422881531991e+000	(-1.98972076086140e-001dB,-1.22170736078272e+001°)
2.39883291901948e+000	(-2.08128116218154e-001dB,-1.24928085373079e+001°)
2.45470891568502e+000	(-2.17695022791973e-001dB,-1.27743586523677e+001°)
2.51188643150957e+000	(-2.27690267179936e-001dB,-1.30618188208324e+001°)
2.57039578276886e+000	(-2.38131975583301e-001dB,-1.33552835453626e+001°)
2.63026799189537e+000	(-2.49038945553949e-001dB,-1.36548468072246e+001°)
2.69153480392691e+000	(-2.60430662168597e-001dB,-1.39606018997314e+001°)
2.75422870333816e+000	(-2.72327313763550e-001dB,-1.42726412510192e+001°)
2.81838293126444e+000	(-2.84749807130306e-001dB,-1.45910562358413e+001°)
2.88403150312660e+000	(-2.97719782064448e-001dB,-1.49159369760877e+001°)
2.95120922666637e+000	(-3.11259625152144e-001dB,-1.52473721297639e+001°)
3.01995172040200e+000	(-3.25392482670274e-001dB,-1.55854486681979e+001°)
3.09029543251358e+000	(-3.40142272467837e-001dB,-1.59302516412848e+001°)
3.16227766016837e+000	(-3.55533694687793e-001dB,-1.62818639306209e+001°)
3.23593656929627e+000	(-3.71592241180143e-001dB,-1.66403659904357e+001°)
3.31131121482590e+000	(-3.88344203448659e-001dB,-1.70058355762861e+001°)
3.38844156139201e+000	(-4.05816678965708e-001dB,-1.73783474615470e+001°)
3.46736850452530e+000	(-4.24037575681676e-001dB,-1.77579731418054e+001°)
3.54813389233574e+000	(-4.43035614548343e-001dB,-1.81447805273485e+001°)
3.63078054770100e+000	(-4.62840329868664e-001dB,-1.85388336240291e+001°)
3.71535229097171e+000	(-4.83482067279527e-001dB,-1.89401922028884e+001°)
3.80189396320560e+000	(-5.04991979168826e-001dB,-1.93489114590284e+001°)
3.89045144994279e+000	(-5.27402017324222e-001dB,-1.97650416603401e+001°)
3.98107170553496e+000	(-5.50744922608075e-001dB,-2.01886277868215e+001°)
4.07380277804111e+000	(-5.75054211451816e-001dB,-2.06197091613515e+001°)
4.16869383470334e+000	(-6.00364158963154e-001dB,-2.10583190729288e+001°)
4.26579518801591e+000	(-6.26709778441821e-001dB,-2.15044843935319e+001°)
4.36515832240164e+000	(-6.54126797103752e-001dB,-2.19582251899134e+001°)
4.46683592150961e+000	(-6.82651627820106e-001dB,-2.24195543318002e+001°)
4.57088189614873e+000	(-7.12321336686594e-001dB,-2.28884770981359e+001°)
4.67735141287196e+000	(-7.43173606250354e-001dB,-2.33649907831709e+001°)
4.78630092322636e+000	(-7.75246694236135e-001dB,-2.38490843043712e+001°)
4.89778819368444e+000	(-8.08579387631393e-001dB,-2.43407378142856e+001°)
5.01187233627270e+000	(-8.43210952010636e-001dB,-2.48399223186743e+001°)
5.12861383991363e+000	(-8.79181076003742e-001dB,-2.53465993033608e+001°)
5.24807460249770e+000	(-9.16529810840431e-001dB,-2.58607203724190e+001°)
5.37031796370250e+000	(-9.55297504934279e-001dB,-2.63822269004463e+001°)
5.49540873857622e+000	(-9.95524733503959e-001dB,-2.69110497017986e+001°)
5.62341325190346e+000	(-1.03725222326736e+000dB,-2.74471087197710e+001°)
5.75439937337154e+000	(-1.08052077228507e+000dB,-2.79903127387938e+001°)
5.88843655355586e+000	(-1.12537116507376e+000dB,-2.85405591227784e+001°)
6.02559586074355e+000	(-1.17184408315664e+000dB,-2.90977335827822e+001°)
6.16595001861479e+000	(-1.21998001126713e+000dB,-2.96617099771661e+001°)
6.30957344480190e+000	(-1.26981913947272e+000dB,-3.02323501473924e+001°)
6.45654229034652e+000	(-1.32140126153824e+000dB,-3.08095037925444e+001°)
6.60693448007593e+000	(-1.37476566990071e+000dB,-3.13930083855457e+001°)
6.76082975391978e+000	(-1.42995104768086e+000dB,-3.19826891339142e+001°)
6.91830970918933e+000	(-1.48699535820889e+000dB,-3.25783589876974e+001°)
7.07945784384134e+000	(-1.54593573259265e+000dB,-3.31798186970088e+001°)
7.24435960074986e+000	(-1.60680835590505e+000dB,-3.37868569213075e+001°)
7.41310241300914e+000	(-1.66964835261279e+000dB,-3.43992503922527e+001°)
7.58577575029180e+000	(-1.73448967190920e+000dB,-3.50167641316013e+001°)
7.76247116628688e+000	(-1.80136497365049e+000dB,-3.56391517252268e+001°)
7.94328234724277e+000	(-1.87030551562443e+000dB,-3.62661556538998e+001°)
8.12830516164095e+000	(-1.94134104290389e+000dB,-3.68975076810091e+001°)
8.31763771102667e+000	(-2.01449968005347e+000dB,-3.75329292969121e+001°)
8.51138038202372e+000	(-2.08980782696497e+000dB,-3.81721322190896e+001°)
8.70963589956076e+000	(-2.16729005909612e+000dB,-3.88148189467556e+001°)
8.91250938133741e+000	(-2.24696903287677e+000dB,-3.94606833680382e+001°)
9.12010839355905e+000	(-2.32886539702655e+000dB,-4.01094114173180e+001°)
9.33254300796986e+000	(-2.41299771049859e+000dB,-4.07606817797836e+001°)
9.54992586021431e+000	(-2.49938236772491e+000dB,-4.14141666397614e+001°)
9.77237220955806e+000	(-2.58803353179054e+000dB,-4.20695324688936e+001°)
9.99999999999995e+000	(-2.67896307610644e+000dB,-4.27264408497947e+001°)
1.02329299228075e+001	(-2.77218053508579e+000dB,-4.33845493304105e+001°)
1.04712854805089e+001	(-2.86769306425544e+000dB,-4.40435123039503e+001°)
1.07151930523760e+001	(-2.96550541015530e+000dB,-4.47029819089616e+001°)
1.09647819614318e+001	(-3.06561989029339e+000dB,-4.53626089438798e+001°)
1.12201845430196e+001	(-3.16803638333644e+000dB,-4.60220437902126e+001°)
1.14815362149688e+001	(-3.27275232962379e+000dB,-4.66809373384160e+001°)
1.17489755493952e+001	(-3.37976274200017e+000dB,-4.73389419104849e+001°)
1.20226443461741e+001	(-3.48906022686999e+000dB,-4.79957121733227e+001°)
1.23026877081237e+001	(-3.60063501528479e+000dB,-4.86509060370635e+001°)
1.25892541179416e+001	(-3.71447500378712e+000dB,-4.93041855326999e+001°)
1.28824955169313e+001	(-3.83056580465014e+000dB,-4.99552176636129e+001°)
1.31825673855640e+001	(-3.94889080507355e+000dB,-5.06036752259084e+001°)
1.34896288259165e+001	(-4.06943123482443e+000dB,-5.12492375928210e+001°)
1.38038426460288e+001	(-4.19216624174691e+000dB,-5.18915914588594e+001°)
1.41253754462275e+001	(-4.31707297450829e+000dB,-5.25304315398122e+001°)
1.44543977074592e+001	(-4.44412667190173e+000dB,-5.31654612252219e+001°)
1.47910838816820e+001	(-4.57330075798775e+000dB,-5.37963931804376e+001°)
1.51356124843620e+001	(-4.70456694232770e+000dB,-5.44229498958854e+001°)
1.54881661891247e+001	(-4.83789532454398e+000dB,-5.50448641817255e+001°)
1.58489319246110e+001	(-4.97325450243178e+000dB,-5.56618796065995e+001°)
1.62181009735892e+001	(-5.11061168284708e+000dB,-5.62737508796958e+001°)
1.65958690743755e+001	(-5.24993279460380e+000dB,-5.68802441758691e+001°)
1.69824365246173e+001	(-5.39118260262980e+000dB,-5.74811374040428e+001°)
1.73780082874936e+001	(-5.53432482265520e+000dB,-5.80762204195782e+001°)
1.77827941003891e+001	(-5.67932223573732e+000dB,-5.86652951817288e+001°)
1.81970085860997e+001	(-5.82613680196307e+000dB,-5.92481758576884e+001°)
1.86208713666286e+001	(-5.97472977271116e+000dB,-5.98246888750926e+001°)
1.90546071796323e+001	(-6.12506180090199e+000dB,-6.03946729251516e+001°)
1.94984459975803e+001	(-6.27709304871198e+000dB,-6.09579789188525e+001°)
1.99526231496887e+001	(-6.43078329227998e+000dB,-6.15144698989031e+001°)
2.04173794466952e+001	(-6.58609202298578e+000dB,-6.20640209102654e+001°)
2.08929613085403e+001	(-6.74297854493403e+000dB,-6.26065188322697e+001°)
2.13796208950222e+001	(-6.90140206832939e+000dB,-6.31418621754000e+001°)
2.18776162394954e+001	(-7.06132179848121e+000dB,-6.36699608459005e+001°)
2.23872113856832e+001	(-7.22269702022650e+000dB,-6.41907358813801e+001°)
2.29086765276776e+001	(-7.38548717760871e+000dB,-6.47041191605798e+001°)
2.34422881531991e+001	(-7.54965194869641e+000dB,-6.52100530904344e+001°)
2.39883291901947e+001	(-7.71515131546951e+000dB,-6.57084902734879e+001°)
2.45470891568501e+001	(-7.88194562874124e+000dB,-6.61993931586400e+001°)
2.51188643150956e+001	(-8.04999566812189e+000dB,-6.66827336780843e+001°)
2.57039578276885e+001	(-8.21926269706413e+000dB,-6.71584928731784e+001°)
2.63026799189536e+001	(-8.38970851306050e+000dB,-6.76266605118427e+001°)
2.69153480392690e+001	(-8.56129549309110e+000dB,-6.80872346999325e+001°)
2.75422870333815e+001	(-8.73398663444327e+000dB,-6.85402214888740e+001°)
2.81838293126443e+001	(-8.90774559104552e+000dB,-6.89856344816827e+001°)
2.88403150312659e+001	(-9.08253670547564e+000dB,-6.94234944393238e+001°)
2.95120922666636e+001	(-9.25832503681694e+000dB,-6.98538288891985e+001°)
3.01995172040199e+001	(-9.43507638454826e+000dB,-7.02766717373787e+001°)
3.09029543251357e+001	(-9.61275730866205e+000dB,-7.06920628860457e+001°)
3.16227766016836e+001	(-9.79133514621107e+000dB,-7.11000478574283e+001°)
3.23593656929626e+001	(-9.97077802448860e+000dB,-7.15006774253844e+001°)
3.31131121482589e+001	(-1.01510548710484e+001dB,-7.18940072556176e+001°)
3.38844156139200e+001	(-1.03321354207716e+001dB,-7.22800975553838e+001°)
3.46736850452529e+001	(-1.05139902201855e+001dB,-7.26590127334069e+001°)
3.54813389233573e+001	(-1.06965906292364e+001dB,-7.30308210706004e+001°)
3.63078054770099e+001	(-1.08799088207154e+001dB,-7.33955944020720e+001°)
3.71535229097170e+001	(-1.10639177775292e+001dB,-7.37534078107854e+001°)
3.80189396320558e+001	(-1.12485912880028e+001dB,-7.41043393331501e+001°)
3.89045144994278e+001	(-1.14339039393952e+001dB,-7.44484696767216e+001°)
3.98107170553494e+001	(-1.16198311097995e+001dB,-7.47858819501126e+001°)
4.07380277804110e+001	(-1.18063489585925e+001dB,-7.51166614051406e+001°)
4.16869383470332e+001	(-1.19934344155912e+001dB,-7.54408951911718e+001°)
4.26579518801589e+001	(-1.21810651690639e+001dB,-7.57586721215622e+001°)
4.36515832240163e+001	(-1.23692196527363e+001dB,-7.60700824520448e+001°)
4.46683592150960e+001	(-1.25578770319233e+001dB,-7.63752176708667e+001°)
4.57088189614871e+001	(-1.27470171889113e+001dB,-7.66741703004423e+001°)
4.67735141287194e+001	(-1.29366207077039e+001dB,-7.69670337102531e+001°)
4.78630092322634e+001	(-1.31266688582395e+001dB,-7.72539019406987e+001°)
4.89778819368442e+001	(-1.33171435801781e+001dB,-7.75348695375806e+001°)
5.00000000000000e+001	(-1.34883481023024e+001dB,-7.77819552656596e+001°)
