freq                    noise
1.000000000000000e-002  1.184259e-007
1.023292992280754e-002  1.184180e-007
1.047128548050899e-002  1.184097e-007
1.071519305237606e-002  1.184011e-007
1.096478196143185e-002  1.183920e-007
1.122018454301963e-002  1.183825e-007
1.148153621496883e-002  1.183725e-007
1.174897554939529e-002  1.183621e-007
1.202264434617413e-002  1.183512e-007
1.230268770812381e-002  1.183398e-007
1.258925411794167e-002  1.183279e-007
1.288249551693134e-002  1.183154e-007
1.318256738556407e-002  1.183023e-007
1.348962882591653e-002  1.182886e-007
1.380384264602884e-002  1.182743e-007
1.412537544622754e-002  1.182593e-007
1.445439770745927e-002  1.182435e-007
1.479108388168207e-002  1.182271e-007
1.513561248436207e-002  1.182099e-007
1.548816618912481e-002  1.181919e-007
1.584893192461113e-002  1.181730e-007
1.621810097358929e-002  1.181533e-007
1.659586907437560e-002  1.181326e-007
1.698243652461744e-002  1.181110e-007
1.737800828749375e-002  1.180884e-007
1.778279410038922e-002  1.180647e-007
1.819700858609983e-002  1.180399e-007
1.862087136662867e-002  1.180140e-007
1.905460717963246e-002  1.179869e-007
1.949844599758045e-002  1.179585e-007
1.995262314968879e-002  1.179288e-007
2.041737944669528e-002  1.178977e-007
2.089296130854039e-002  1.178652e-007
2.137962089502231e-002  1.178312e-007
2.187761623949552e-002  1.177956e-007
2.238721138568339e-002  1.177584e-007
2.290867652767772e-002  1.177194e-007
2.344228815319921e-002  1.176787e-007
2.398832919019489e-002  1.176360e-007
2.454708915685028e-002  1.175915e-007
2.511886431509578e-002  1.175448e-007
2.570395782768862e-002  1.174961e-007
2.630267991895379e-002  1.174451e-007
2.691534803926913e-002  1.173917e-007
2.754228703338164e-002  1.173360e-007
2.818382931264451e-002  1.172777e-007
2.884031503126603e-002  1.172167e-007
2.951209226666382e-002  1.171530e-007
3.019951720402013e-002  1.170863e-007
3.090295432513587e-002  1.170167e-007
3.162277660168375e-002  1.169439e-007
3.235936569296278e-002  1.168678e-007
3.311311214825906e-002  1.167883e-007
3.388441561392020e-002  1.167052e-007
3.467368504525311e-002  1.166184e-007
3.548133892335749e-002  1.165277e-007
3.630780547701008e-002  1.164330e-007
3.715352290971719e-002  1.163340e-007
3.801893963205606e-002  1.162307e-007
3.890451449942799e-002  1.161227e-007
3.981071705534966e-002  1.160100e-007
4.073802778041120e-002  1.158924e-007
4.168693834703347e-002  1.157696e-007
4.265795188015920e-002  1.156414e-007
4.365158322401652e-002  1.155076e-007
4.466835921509623e-002  1.153680e-007
4.570881896148742e-002  1.152224e-007
4.677351412871973e-002  1.150705e-007
4.786300923226374e-002  1.149121e-007
4.897788193684452e-002  1.147469e-007
5.011872336272712e-002  1.145747e-007
5.128613839913638e-002  1.143953e-007
5.248074602497715e-002  1.142082e-007
5.370317963702516e-002  1.140134e-007
5.495408738576234e-002  1.138104e-007
5.623413251903479e-002  1.135990e-007
5.754399373371557e-002  1.133788e-007
5.888436553555877e-002  1.131497e-007
6.025595860743564e-002  1.129113e-007
6.165950018614807e-002  1.126632e-007
6.309573444801918e-002  1.124052e-007
6.456542290346540e-002  1.121370e-007
6.606934480075945e-002  1.118581e-007
6.760829753919802e-002  1.115683e-007
6.918309709189348e-002  1.112673e-007
7.079457843841361e-002  1.109546e-007
7.244359600749882e-002  1.106300e-007
7.413102413009155e-002  1.102932e-007
7.585775750291818e-002  1.099438e-007
7.762471166286897e-002  1.095814e-007
7.943282347242793e-002  1.092058e-007
8.128305161640970e-002  1.088166e-007
8.317637711026686e-002  1.084135e-007
8.511380382023739e-002  1.079961e-007
8.709635899560780e-002  1.075642e-007
8.912509381337429e-002  1.071175e-007
9.120108393559070e-002  1.066556e-007
9.332543007969883e-002  1.061782e-007
9.549925860214331e-002  1.056852e-007
9.772372209558078e-002  1.051763e-007
9.999999999999970e-002  1.046512e-007
1.023292992280751e-001  1.041096e-007
1.047128548050896e-001  1.035515e-007
1.071519305237603e-001  1.029766e-007
1.096478196143182e-001  1.023847e-007
1.122018454301960e-001  1.017757e-007
1.148153621496879e-001  1.011496e-007
1.174897554939526e-001  1.005061e-007
1.202264434617409e-001  9.984534e-008
1.230268770812378e-001  9.916720e-008
1.258925411794163e-001  9.847171e-008
1.288249551693130e-001  9.775890e-008
1.318256738556403e-001  9.702884e-008
1.348962882591649e-001  9.628163e-008
1.380384264602880e-001  9.551743e-008
1.412537544622749e-001  9.473639e-008
1.445439770745922e-001  9.393874e-008
1.479108388168202e-001  9.312471e-008
1.513561248436203e-001  9.229461e-008
1.548816618912476e-001  9.144874e-008
1.584893192461108e-001  9.058747e-008
1.621810097358924e-001  8.971119e-008
1.659586907437555e-001  8.882033e-008
1.698243652461738e-001  8.791536e-008
1.737800828749369e-001  8.699676e-008
1.778279410038916e-001  8.606509e-008
1.819700858609977e-001  8.512089e-008
1.862087136662861e-001  8.416476e-008
1.905460717963240e-001  8.319731e-008
1.949844599758038e-001  8.221919e-008
1.995262314968872e-001  8.123106e-008
2.041737944669521e-001  8.023363e-008
2.089296130854031e-001  7.922759e-008
2.137962089502223e-001  7.821366e-008
2.187761623949543e-001  7.719260e-008
2.238721138568330e-001  7.616514e-008
2.290867652767764e-001  7.513205e-008
2.344228815319912e-001  7.409410e-008
2.398832919019480e-001  7.305204e-008
2.454708915685020e-001  7.200667e-008
2.511886431509570e-001  7.095874e-008
2.570395782768853e-001  6.990902e-008
2.630267991895371e-001  6.885828e-008
2.691534803926904e-001  6.780726e-008
2.754228703338155e-001  6.675670e-008
2.818382931264442e-001  6.570734e-008
2.884031503126593e-001  6.465988e-008
2.951209226666373e-001  6.361503e-008
3.019951720402003e-001  6.257347e-008
3.090295432513577e-001  6.153585e-008
3.162277660168365e-001  6.050281e-008
3.235936569296268e-001  5.947497e-008
3.311311214825896e-001  5.845293e-008
3.388441561392009e-001  5.743724e-008
3.467368504525300e-001  5.642846e-008
3.548133892335738e-001  5.542710e-008
3.630780547700996e-001  5.443366e-008
3.715352290971707e-001  5.344860e-008
3.801893963205594e-001  5.247236e-008
3.890451449942787e-001  5.150535e-008
3.981071705534953e-001  5.054795e-008
4.073802778041107e-001  4.960054e-008
4.168693834703334e-001  4.866343e-008
4.265795188015906e-001  4.773694e-008
4.365158322401638e-001  4.682134e-008
4.466835921509609e-001  4.591690e-008
4.570881896148728e-001  4.502385e-008
4.677351412871959e-001  4.414239e-008
4.786300923226360e-001  4.327271e-008
4.897788193684438e-001  4.241497e-008
5.011872336272698e-001  4.156932e-008
5.128613839913623e-001  4.073587e-008
5.248074602497700e-001  3.991473e-008
5.370317963702500e-001  3.910597e-008
5.495408738576217e-001  3.830967e-008
5.623413251903462e-001  3.752585e-008
5.754399373371539e-001  3.675457e-008
5.888436553555859e-001  3.599582e-008
6.025595860743546e-001  3.524961e-008
6.165950018614789e-001  3.451592e-008
6.309573444801898e-001  3.379472e-008
6.456542290346520e-001  3.308598e-008
6.606934480075923e-001  3.238963e-008
6.760829753919780e-001  3.170562e-008
6.918309709189326e-001  3.103386e-008
7.079457843841339e-001  3.037429e-008
7.244359600749859e-001  2.972680e-008
7.413102413009133e-001  2.909130e-008
7.585775750291794e-001  2.846767e-008
7.762471166286873e-001  2.785581e-008
7.943282347242769e-001  2.725560e-008
8.128305161640945e-001  2.666690e-008
8.317637711026662e-001  2.608959e-008
8.511380382023716e-001  2.552353e-008
8.709635899560756e-001  2.496858e-008
8.912509381337403e-001  2.442461e-008
9.120108393559044e-001  2.389145e-008
9.332543007969856e-001  2.336897e-008
9.549925860214303e-001  2.285701e-008
9.772372209558049e-001  2.235541e-008
9.999999999999940e-001  2.186403e-008
1.023292992280748e+000  2.138271e-008
1.047128548050893e+000  2.091128e-008
1.071519305237600e+000  2.044959e-008
1.096478196143178e+000  1.999749e-008
1.122018454301957e+000  1.955481e-008
1.148153621496876e+000  1.912139e-008
1.174897554939522e+000  1.869707e-008
1.202264434617406e+000  1.828170e-008
1.230268770812374e+000  1.787512e-008
1.258925411794160e+000  1.747717e-008
1.288249551693126e+000  1.708770e-008
1.318256738556399e+000  1.670654e-008
1.348962882591645e+000  1.633355e-008
1.380384264602876e+000  1.596857e-008
1.412537544622746e+000  1.561145e-008
1.445439770745919e+000  1.526204e-008
1.479108388168198e+000  1.492020e-008
1.513561248436199e+000  1.458577e-008
1.548816618912472e+000  1.425861e-008
1.584893192461103e+000  1.393858e-008
1.621810097358920e+000  1.362554e-008
1.659586907437550e+000  1.331934e-008
1.698243652461734e+000  1.301985e-008
1.737800828749364e+000  1.272693e-008
1.778279410038911e+000  1.244046e-008
1.819700858609971e+000  1.216029e-008
1.862087136662855e+000  1.188630e-008
1.905460717963235e+000  1.161836e-008
